,Date,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,QCOM
0,2018-01-22,42.07731246948242,66.3655014038086,58.20800018310547,39.82974624633789,185.3699951171875,86.2705078125,57.83304214477539,59.69854736328125
1,2018-01-23,42.086822509765625,68.12699890136719,58.80849838256836,40.0996322631836,189.3500061035156,86.54360961914062,59.124881744384766,59.41167831420898
2,2018-01-24,41.41644287109375,67.87550354003906,58.56449890136719,39.62079620361328,186.5500030517578,86.46826171875,58.355228424072266,59.09869766235352
3,2018-01-25,40.6771125793457,68.89749908447266,59.10699844360352,39.43798065185547,187.47999572753903,86.94851684570312,58.491336822509766,58.61187744140625
4,2018-01-26,40.77219009399414,70.10250091552734,59.37799835205078,43.59941864013672,190.0,88.57771301269531,60.21873474121094,59.57683563232422
5,2018-01-29,39.92827987670898,70.88400268554688,59.32400131225586,43.51236724853516,185.97999572753903,88.44586181640625,61.08985137939453,58.5249252319336
6,2018-01-30,39.69293975830078,71.89099884033203,58.868499755859375,42.476356506347656,187.1199951171875,87.33465576171875,60.067779541015625,58.2380256652832
7,2018-01-31,39.80228042602539,72.54450225830078,59.11100006103516,41.91046142578125,186.88999938964844,89.47233581542969,60.83000946044922,59.33341598510742
8,2018-02-01,39.88548278808594,69.5,59.079498291015625,41.48387908935547,193.08999633789065,88.76603698730469,59.51837539672852,58.072853088378906
9,2018-02-02,38.15484237670898,71.49749755859375,55.959999084472656,40.177982330322266,190.27999877929688,86.43059539794922,57.79098510742188,57.438236236572266
10,2018-02-05,37.20157623291016,69.5,53.11949920654297,38.75891876220703,181.25999450683597,82.87092590332031,52.88597106933594,53.66523742675781
11,2018-02-06,38.75630569458008,72.14199829101562,54.22150039672852,39.363712310791016,185.30999755859372,86.0068130493164,55.82600784301758,55.98640823364258
12,2018-02-07,37.92663192749024,70.83899688720703,52.77050018310547,39.61788940429688,180.17999267578125,84.38706970214844,56.62289047241211,56.54279708862305
13,2018-02-08,36.88301849365234,67.5250015258789,50.385501861572266,37.470462799072266,171.5800018310547,80.05518341064453,53.83134078979492,54.265098571777344
14,2018-02-09,37.33415603637695,66.9800033569336,52.3134994506836,38.522254943847656,176.11000061035156,83.04041290283203,57.434608459472656,55.629981994628906
15,2018-02-12,38.83793258666992,69.3115005493164,52.72800064086914,39.2935905456543,176.41000366210938,83.93505096435547,56.43233108520508,57.0817985534668
16,2018-02-13,39.226993560791016,70.72550201416016,52.70700073242188,38.96927261352539,173.14999389648438,84.59423828125,57.57073211669922,57.11657333374024
17,2018-02-14,39.95024490356445,72.55249786376953,53.6349983215332,39.77566146850586,179.52000427246094,85.91883087158203,59.746055603027344,57.89029693603516
18,2018-02-15,41.29171371459961,73.08799743652344,54.56800079345703,40.24897003173828,179.9600067138672,87.66920471191406,61.00325012207031,56.75144577026367
19,2018-02-16,41.15803146362305,72.43450164794922,54.775001525878906,39.93342971801758,177.36000061035156,87.04473876953125,60.3449592590332,56.37762069702149
20,2018-02-20,41.01959991455078,73.4175033569336,55.179500579833984,40.599571228027344,176.00999450683594,87.72598266601562,61.641727447509766,55.629981994628906
21,2018-02-21,40.83341217041016,74.14600372314453,55.6875,40.26650619506836,177.91000366210938,86.56221771240234,59.76832580566406,55.11706161499024
22,2018-02-22,41.174747467041016,74.26699829101562,55.494998931884766,40.14379501342773,178.99000549316406,86.78929901123047,59.96395492553711,54.05644607543945
23,2018-02-23,41.89082336425781,75.0,56.40449905395508,41.8354377746582,183.2899932861328,88.99380493164062,60.900001525878906,55.04750442504883
24,2018-02-26,42.71908950805664,76.09750366210938,57.185001373291016,43.045013427734375,184.92999267578125,90.28053283691406,61.06096267700195,58.22934341430664
25,2018-02-27,42.58065032958984,75.5989990234375,55.8754997253418,43.7462043762207,181.4600067138672,89.12626647949219,60.93219757080078,58.1679801940918
26,2018-02-28,42.516204833984375,75.62249755859375,55.19599914550781,43.202781677246094,178.32000732421875,88.71940612792969,59.92681121826172,56.9930305480957
27,2018-03-01,41.77147674560547,74.67250061035156,53.570499420166016,41.93184661865234,175.94000244140625,87.84896850585938,57.50249862670898,56.95796585083008
28,2018-03-02,42.060306549072266,75.01249694824219,54.20700073242188,42.93106842041016,176.6199951171875,88.03820037841797,58.574745178222656,56.76506042480469
29,2018-03-05,42.205902099609375,76.18049621582031,54.73799896240234,43.60597229003906,180.3999938964844,88.59642791748047,58.35435485839844,56.12499237060547
30,2018-03-06,42.17008972167969,76.88200378417969,55.04499816894531,44.44740295410156,179.77999877929688,88.29364776611328,59.9664306640625,54.4853401184082
31,2018-03-07,41.77863311767578,77.25,55.75199890136719,44.982078552246094,183.7100067138672,88.8045654296875,59.8871955871582,54.7922248840332
32,2018-03-08,42.23455047607422,77.59300231933594,56.46900177001953,44.47370529174805,182.33999633789065,89.34385681152344,59.723751068115234,54.20476150512695
33,2018-03-09,42.96018600463867,78.94450378417969,58.04199981689453,45.74462127685547,185.22999572753903,91.34024047851562,60.751426696777344,55.26570510864258
34,2018-03-12,43.37550354003906,79.91950225830078,58.29650115966797,45.15737533569336,184.75999450683597,91.55782318115234,61.84843063354492,55.07281112670898
35,2018-03-13,42.95779037475586,79.40899658203125,56.99549865722656,45.3852653503418,181.8800048828125,89.324951171875,61.340782165527344,52.34591293334961
36,2018-03-14,42.592586517333984,79.55000305175781,57.44449996948242,45.45538711547852,184.19000244140625,88.79508972167969,61.59584426879883,52.714168548583984
37,2018-03-15,42.64270782470703,79.11599731445312,57.53049850463867,44.59642028808594,183.8600006103516,89.10733795166016,61.744422912597656,52.51250076293945
